Skill,Freq,Trend_Slope,Recency_Weight,Upcoming_Flag,Is_Taught_MSRIT,Taught_Institute_Count,Institutional_Gap_Score,Company_Spread,Company_Spread_Norm,Velocity,Volatility,Semantic_Centrality,Semantic_Gap_Distance,NLP_Rarity_Score,Skill_Cluster,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Skill_Domain,Domain_AI/ML,Domain_Cloud,Domain_Data,Domain_DevOps,Domain_Other,Domain_Security,Domain_Systems/Infra,Domain_Web/Mobile,Demand_Score,Label_MSRIT,Recommendation_Prob_MSRIT,Trajectory,Skill_Keywords,Cluster_Theme,Industry_Threshold_Year,CLI,Watch_List,Watch_Urgency,Transition,In_Transition,Propagated_Gap_Score,Semantic_Neighbors,Top_Cooccurring,Priority_Score,NLP_Gap_Priority,Debt_Score
ci/cd,10,-0.7692307692307693,0.25,0,0,0,1.0,7,0.7,-1.0,2.549509756796392,0.3192,0.7023,0.00747,7,False,False,False,False,False,False,False,True,DevOps,False,False,False,True,False,False,False,False,2.3862,1,0.6340506697873665,Transitional,"ci, cd",ci / cd / pipelines / circuit,2021,4,0,0.0,,0,1.2504,"ci/cd pipelines, sql, prompt engineering","docker, aws, linux",0.773,0.6884,11.5
ci/cd pipelines,1,0.0,0.25,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.272,0.7624,0.00963,7,False,False,False,False,False,False,False,True,Data,False,False,True,False,False,False,False,False,0.32,0,0.0035294117647058,Transitional,"ci, cd, pipelines",ci / cd / pipelines / circuit,2022,3,0,0.0,,0,0.3984,"ci/cd, siem tools, shell scripting","aws, ci/cd, docker",0.4507,0.5671,9.0
circuit breaker pattern,1,0.0,0.5,0,1,1,0.8,1,0.1,0.0,0.447213595499958,0.1695,0.8309,0.00964,7,False,False,False,False,False,False,False,True,Other,False,False,False,False,True,False,False,False,0.37,0,0.0,Traditional,"circuit, breaker, pattern",ci / cd / pipelines / circuit,2023,0,0,0.0,,0,0.1802,"security auditing, lighthouse audits, system design","microservices, rest apis, event-driven architecture",0.205,0.4499,0.0
cloud architecture,6,-2.0,0.5833333333333334,0,1,5,0.0,5,0.5,-4.0,2.16794833886788,0.5765,0.4093,0.00742,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False,0.7167,0,0.1186265012811955,Transitional,"cloud, architecture",cloud / aws / architecture / multi,2023,0,0,0.0,,0,1.0411,"multi-cloud, multi-cloud strategy, cloud security","kubernetes, aws",0.1758,0.2006,0.0
cloud cost optimization,1,0.0,0.75,1,1,1,0.8,1,0.1,0.0,0.447213595499958,0.4278,0.5698,0.00959,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False,0.42,0,0.0,Upcoming,"cloud, cost, optimization",cloud / aws / architecture / multi,2024,0,0,0.0,,0,0.0011,"multi-cloud strategy, cloud architecture, multi-cloud","multi-cloud strategy, cloud security, disaster recovery planning",0.205,0.3344,0.0
cloud security,19,-6.999999999999998,0.8289473684210527,1,1,4,0.2,10,1.0,-7.0,5.761944116355173,0.5357,0.4634,0.00743,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False,2.6658,0,0.0736788742494764,Upcoming,security,cloud / aws / architecture / multi,2024,0,0,0.0,,0,1.2165,"cloud architecture, multi-cloud, multi-cloud strategy","kubernetes, multi-cloud, terraform",0.2508,0.2696,0.0
css,11,-3.0,0.0909090909090909,0,1,1,0.8,9,0.9,-3.0,3.1937438845342627,0.474,0.4972,0.00431,1,False,True,False,False,False,False,False,False,Web/Mobile,False,False,False,False,False,False,False,True,1.8982,0,0.2993575289594006,Transitional,css,data / learning / feature / auto,2021,0,0,0.0,,0,0.2228,"html, aws, javascript","javascript, html, react",0.3974,0.3063,0.0
data structures,4,0.0,0.0,0,1,1,0.8,4,0.4,0.0,1.7888543819998322,0.4864,0.4817,0.00746,1,False,True,False,False,False,False,False,False,Data,False,False,True,False,False,False,False,False,1.08,0,0.0034374999999999,Transitional,"data, structures",data / learning / feature / auto,2021,0,0,0.0,,0,0.0608,"data visualization, event-driven architecture, sql","sql, java, distributed systems",0.2724,0.2912,0.0
data visualization,13,1.7857142857142856,0.5769230769230769,0,1,3,0.4,9,0.9,2.5,3.130495168499705,0.4177,0.5332,0.00746,1,False,True,False,False,False,False,False,False,Data,False,False,True,False,False,False,False,False,4.2775,0,0.2660258624967102,Transitional,"data, visualization",data / learning / feature / auto,2023,0,0,0.0,Traditional -> Transitional,1,1.3323,"data structures, excel, helm charts","python, advanced sql, power bi",0.4365,0.4122,0.0
deep learning,21,-1.4999999999999998,0.5357142857142857,0,1,5,0.0,10,1.0,-1.3333333333333333,3.7013511046643495,0.5402,0.4543,0.00746,1,False,True,False,False,False,False,False,False,AI/ML,True,False,False,False,False,False,False,False,5.0571,0,0.2301141105355394,Traditional,"deep, learning",data / learning / feature / auto,2023,0,0,0.0,,0,1.5222,"machine learning, tensorflow, generative ai","tensorflow, feature engineering, llm",0.3515,0.3266,0.0
disaster recovery planning,1,0.0,0.75,0,1,1,0.8,1,0.1,0.0,0.447213595499958,0.3026,0.698,0.00964,2,False,False,True,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.42,0,0.0,Transitional,"disaster, recovery, planning",disaster / recovery / planning / event,2024,0,0,0.0,,0,0.0011,"event-driven architecture, vulnerability scanning, prompt engineering","cloud security, kubernetes, multi-cloud",0.205,0.3917,0.0
distributed systems,17,1.4230769230769231,0.7647058823529411,1,1,4,0.2,9,0.9,1.5,5.079370039680118,0.5716,0.4347,0.00747,0,True,False,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,5.0926,0,0.4080461685466151,Upcoming,systems,cloud / aws / architecture / multi,2024,0,0,0.0,Transitional -> Upcoming,1,0.4256,"system design, multi-cloud, networking","golang, kubernetes, system design",0.4301,0.3654,0.0
docker,13,0.0,0.25,0,1,1,0.8,8,0.8,0.0,5.813776741499454,0.407,0.5744,0.00431,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False,3.46,0,0.6648450505709076,Transitional,docker,cloud / aws / architecture / multi,2022,0,0,0.0,,0,3.5743,"multi-cloud, gitops, aws","model deployment, tensorflow, ci/cd",0.4972,0.4,0.0
event-driven architecture,1,0.0,0.5,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.4584,0.5656,0.00962,2,False,False,True,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.37,0,0.0,Transitional,"event, architecture",disaster / recovery / planning / event,2023,2,0,0.0,,0,0.1802,"distributed systems, system design, data structures","golang, message queues, microservices",0.375,0.4352,6.0
excel,6,0.0,0.0,0,1,1,0.8,6,0.6,0.0,2.683281572999748,0.4053,0.5276,0.00431,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,1.62,0,0.0389406716289659,Transitional,excel,data / learning / feature / auto,2021,0,0,0.0,,0,0.1112,"data visualization, sql, statistics","sql, tableau, data visualization",0.3241,0.2757,0.0
feature engineering,9,0.0,0.5,0,1,3,0.4,9,0.9,0.0,4.024922359499622,0.5052,0.4736,0.00746,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,2.53,0,0.5845929611304339,Transitional,"feature, engineering",data / learning / feature / auto,2023,0,0,0.0,,0,1.5222,"feature stores, machine learning, prompt engineering","tensorflow, deep learning, hyperparameter tuning",0.4629,0.4019,0.0
feature stores,1,0.0,0.5,1,1,1,0.8,1,0.1,0.0,0.447213595499958,0.4377,0.5381,0.00746,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.37,0,0.0,Upcoming,"feature, stores",data / learning / feature / auto,2023,0,0,0.0,,0,0.1689,"feature engineering, azure, machine learning","kubernetes, mlops, model deployment",0.205,0.2755,0.0
generative ai,14,-7.999999999999998,0.8035714285714286,1,1,1,0.8,9,0.9,-8.0,4.764451699828638,0.4525,0.5422,0.00747,1,False,True,False,False,False,False,False,False,AI/ML,True,False,False,False,False,False,False,False,1.0407,0,0.0997370862293688,Upcoming,generative,data / learning / feature / auto,2024,0,0,0.0,,0,0.0,"machine learning, deep learning, tensorflow","llm, deep learning, mlops",0.2783,0.3214,0.0
github actions,1,0.0,0.25,0,1,1,0.8,1,0.1,0.0,0.447213595499958,0.2144,0.7817,0.00747,6,False,False,False,False,False,False,True,False,DevOps,False,False,False,True,False,False,False,False,0.32,0,0.0,Transitional,"github, actions",deployment / model / blue / green,2022,0,0,0.0,,0,0.3995,"gitops, oauth2, sre practices","aws, ci/cd, ci/cd pipelines",0.205,0.3824,0.0
gitops,1,0.0,0.75,1,1,1,0.8,1,0.1,0.0,0.447213595499958,0.3665,0.5925,0.00431,0,True,False,False,False,False,False,False,False,DevOps,False,False,False,True,False,False,False,False,0.42,0,0.0,Upcoming,gitops,cloud / aws / architecture / multi,2024,0,0,0.0,,0,0.0,"terraform, docker, grpc","helm charts, service mesh (istio)",0.205,0.2327,0.0
golang,22,-2.499999999999999,0.6931818181818182,0,1,1,0.8,9,0.9,-2.5,4.929503017546495,0.4053,0.5813,0.00431,2,False,False,True,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,4.9436,0,0.3257292268307005,Transitional,golang,disaster / recovery / planning / event,2023,0,0,0.0,,0,1.5617,"python, grpc, java","kubernetes, microservices, distributed systems",0.4107,0.3512,0.0
grpc,1,0.0,0.25,0,1,1,0.8,1,0.1,0.0,0.447213595499958,0.4515,0.5395,0.00431,7,False,False,False,False,False,False,False,True,Other,False,False,False,False,True,False,False,False,0.32,0,0.0,Transitional,grpc,ci / cd / pipelines / circuit,2022,0,0,0.0,,0,0.0,"gitops, golang, mlops","api gateway, oauth2",0.205,0.2094,0.0
helm charts,1,0.0,0.75,0,1,1,0.8,1,0.1,0.0,0.447213595499958,0.299,0.6988,0.00747,1,False,True,False,False,False,False,False,False,DevOps,False,False,False,True,False,False,False,False,0.42,0,0.0,Transitional,"helm, charts",data / learning / feature / auto,2024,0,0,0.0,,0,0.0,"data visualization, vector embeddings, kubernetes","gitops, service mesh (istio)",0.205,0.3461,0.0
html,7,0.0,0.0,0,1,4,0.2,7,0.7,0.0,3.130495168499705,0.4061,0.5442,0.00431,1,False,True,False,False,False,False,False,False,Web/Mobile,False,False,False,False,False,False,False,True,1.89,0,0.0843040344163514,Transitional,html,data / learning / feature / auto,2021,0,0,0.0,,0,0.0,"css, javascript, node.js","javascript, css",0.2957,0.2659,0.0
hyperparameter tuning,1,0.0,0.5,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.2958,0.7729,0.00746,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.37,0,0.0035294117647058,Traditional,"hyperparameter, tuning",data / learning / feature / auto,2023,2,0,0.0,,0,0.1697,"llm fine-tuning, web performance optimization, machine learning","feature engineering, shap, tensorflow",0.3757,0.4808,6.0
infrastructure as code,1,0.0,0.5,1,1,1,0.8,1,0.1,0.0,0.447213595499958,0.4656,0.5171,0.00964,2,False,False,True,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.37,0,0.0,Upcoming,"infrastructure, code",disaster / recovery / planning / event,2023,0,0,0.0,,0,0.2024,"networking, cloud architecture, system design","auto scaling, terraform",0.205,0.3124,0.0
java,28,-3.2,0.1875,0,1,4,0.2,10,1.0,-5.0,6.348228099241551,0.5345,0.4398,0.00431,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,5.8475,0,0.2083686221841076,Traditional,java,data / learning / feature / auto,2021,0,0,0.0,,0,1.0111,"python, linux, javascript","sql, system design, microservices",0.3097,0.2286,0.0
javascript,22,-3.999999999999999,0.1590909090909091,0,1,4,0.2,10,1.0,-4.0,5.319774431308154,0.4225,0.5749,0.00431,4,False,False,False,False,True,False,False,False,Web/Mobile,False,False,False,False,False,False,False,True,4.3318,0,0.2405628166418198,Transitional,javascript,javascript / next.js / node.js / react,2021,0,0,0.0,,0,1.5202,"node.js, html, next.js","css, react, html",0.3319,0.3011,0.0
jwt authentication,1,0.0,0.25,0,1,1,0.8,1,0.1,0.0,0.447213595499958,0.1634,0.8325,0.00747,3,False,False,False,True,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.32,0,0.0,Traditional,"jwt, authentication",api / apis / gateway / rate,2022,0,0,0.0,,0,0.2759,"oauth2, security auditing, rest apis","next.js, node.js, react",0.205,0.4047,0.0
kpi tracking,1,0.0,0.0,0,1,1,0.8,1,0.1,0.0,0.447213595499958,0.3674,0.6151,0.00747,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.27,0,0.0,Traditional,"kpi, tracking",data / learning / feature / auto,2021,0,0,0.0,,0,0.0185,"model monitoring, model drift detection, kubernetes","data visualization, excel, sql",0.205,0.3094,0.0
kubernetes,45,1.6999999999999995,0.6722222222222223,1,1,2,0.6,10,1.0,1.0,10.535653752852738,0.4405,0.544,0.00431,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False,12.0744,0,0.4853392052670683,Transitional,kubernetes,cloud / aws / architecture / multi,2023,0,0,0.0,Upcoming -> Transitional,1,6.4189,"multi-cloud, multi-cloud strategy, terraform","cloud security, terraform, golang",0.5004,0.3886,0.0
lighthouse audits,1,0.0,0.75,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.2864,0.7641,0.00747,2,False,False,True,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.42,0,0.0035294117647058,Transitional,"lighthouse, audits",disaster / recovery / planning / event,2024,1,0,0.0,,0,0.3837,"security auditing, observability, vulnerability scanning","next.js, react, server components",0.3007,0.4321,3.0
linux,11,0.0,0.0,0,1,1,0.8,8,0.8,0.0,4.919349550499538,0.4942,0.4968,0.00431,1,False,True,False,False,False,False,False,False,Systems/Infra,False,False,False,False,False,False,True,False,2.91,0,0.5689951124954132,Transitional,linux,data / learning / feature / auto,2021,0,0,0.0,,0,3.0943,"java, python, spring boot","networking, aws, ci/cd",0.4775,0.3542,0.0
llm,15,-6.999999999999998,0.8166666666666667,1,1,1,0.8,9,0.9,-7.0,4.795831523312719,0.3829,0.6315,0.00431,1,False,True,False,False,False,False,False,False,AI/ML,True,False,False,False,False,False,False,False,1.6433,0,0.1656543224650555,Upcoming,llm,data / learning / feature / auto,2024,0,0,0.0,,0,0.0,"llm fine-tuning, llm apis, siem tools","generative ai, mlops, deep learning",0.3074,0.3112,0.0
llm apis,1,0.0,0.75,1,0,0,1.0,1,0.1,0.0,0.447213595499958,0.4518,0.5943,0.00745,3,False,False,False,True,False,False,False,False,AI/ML,True,False,False,False,False,False,False,False,0.42,0,0.0,Upcoming,"llm, apis",api / apis / gateway / rate,2024,1,0,0.0,,0,0.0,"llm, rest apis, llm fine-tuning","generative ai, llm, mlops",0.3,0.3569,3.0
llm fine-tuning,1,0.0,1.0,1,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3739,0.7013,0.00962,1,False,True,False,False,False,False,False,False,AI/ML,True,False,False,False,False,False,False,False,0.47,0,0.0,Upcoming,fine,data / learning / feature / auto,2025,0,0,0.0,,0,0.0,"llm, hyperparameter tuning, llm apis","deep learning, model drift detection, retrieval augmented generation (rag)",0.225,0.4047,0.0
load balancing,1,0.0,0.0,0,1,1,0.8,1,0.1,0.0,0.447213595499958,0.4674,0.5558,0.00747,0,True,False,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.27,0,0.0,Transitional,"load, balancing",cloud / aws / architecture / multi,2021,0,0,0.0,,0,0.3155,"multithreading, distributed systems, multi-cloud strategy","vpc configuration, aws, aws ec2",0.205,0.2834,0.0
machine learning,9,0.9999999999999998,0.1388888888888889,0,1,5,0.0,7,0.7,1.0,2.489979919597747,0.6318,0.3423,0.00746,1,False,True,False,False,False,False,False,False,AI/ML,True,False,False,False,False,False,False,False,2.7678,0,0.3506046409406679,Transitional,"machine, learning",data / learning / feature / auto,2022,0,0,0.0,,0,0.0,"deep learning, generative ai, feature engineering","python, deep learning, statistics",0.346,0.2742,0.0
message queues,1,0.0,0.5,0,1,1,0.8,1,0.1,0.0,0.447213595499958,0.4245,0.5827,0.00747,0,True,False,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.37,0,0.0,Transitional,"message, queues",cloud / aws / architecture / multi,2023,0,0,0.0,,0,0.1802,"distributed systems, multithreading, microservices","event-driven architecture, golang, microservices",0.205,0.2952,0.0
microservices,28,0.4000000000000001,0.5357142857142857,0,1,4,0.2,10,1.0,0.5,4.979959839195493,0.4962,0.4966,0.00431,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False,7.4621,0,0.5643723507390053,Traditional,microservices,cloud / aws / architecture / multi,2022,0,0,0.0,Transitional -> Traditional,1,3.3241,"distributed systems, multi-cloud, rest apis","system design, rest apis, golang",0.4688,0.3489,0.0
mlops,14,-2.499999999999999,0.6607142857142857,1,1,5,0.0,9,0.9,-2.5,3.114482300479488,0.4518,0.5244,0.00431,0,True,False,False,False,False,False,False,False,AI/ML,True,False,False,False,False,False,False,False,2.9371,0,0.0701392610212043,Transitional,mlops,cloud / aws / architecture / multi,2023,0,0,0.0,,0,1.0136,"microservices, shap, aws","tensorflow, kubernetes, llm",0.2781,0.2467,0.0
model deployment,14,-2.5,0.1607142857142857,0,1,2,0.6,9,0.9,-2.5,3.420526275297414,0.3995,0.6257,0.00745,6,False,False,False,False,False,False,True,False,Other,False,False,False,False,True,False,False,False,2.8371,0,0.4307249020793926,Transitional,"model, deployment",deployment / model / blue / green,2021,0,0,0.0,,0,1.4682,"model monitoring, blue-green deployment, canary deployment","tensorflow, docker, python",0.4122,0.438,0.0
model drift detection,1,0.0,1.0,1,0,0,1.0,1,0.1,0.0,0.447213595499958,0.2968,0.7618,0.00962,6,False,False,False,False,False,False,True,False,Other,False,False,False,False,True,False,False,False,0.47,0,0.0,Upcoming,"model, drift, detection",deployment / model / blue / green,2025,0,0,0.0,,0,0.0,"model monitoring, kpi tracking, model deployment","deep learning, llm fine-tuning, retrieval augmented generation (rag)",0.225,0.4312,0.0
model monitoring,1,0.0,0.5,1,0,0,1.0,1,0.1,0.0,0.447213595499958,0.4949,0.5573,0.00745,6,False,False,False,False,False,False,True,False,DevOps,False,False,False,True,False,False,False,False,0.37,0,0.0,Upcoming,"model, monitoring",deployment / model / blue / green,2023,2,0,0.0,,0,0.1689,"model drift detection, model deployment, machine learning","feature stores, kubernetes, mlops",0.375,0.3857,6.0
multi-cloud,11,-3.0,0.8409090909090909,1,1,1,0.8,7,0.7,-3.0,3.1937438845342627,0.5413,0.4495,0.00744,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False,2.0082,0,0.176653844799831,Upcoming,"multi, cloud",cloud / aws / architecture / multi,2024,0,0,0.0,,0,0.0011,"multi-cloud strategy, cloud architecture, cloud cost optimization","cloud security, kubernetes, disaster recovery planning",0.3278,0.3099,0.0
multi-cloud strategy,1,0.0,0.75,1,0,0,1.0,1,0.1,0.0,0.447213595499958,0.4555,0.5556,0.0096,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False,0.42,0,0.0035294117647058,Upcoming,"multi, -, cloud, strategy",cloud / aws / architecture / multi,2024,1,0,0.0,,0,0.0,"multi-cloud, cloud architecture, cloud cost optimization","cloud cost optimization, cloud security, disaster recovery planning",0.3007,0.3858,3.0
multithreading,1,0.0,0.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.4049,0.6294,0.00431,0,True,False,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.27,0,0.0,Traditional,multithreading,cloud / aws / architecture / multi,2021,4,0,0.0,,0,0.0608,"load balancing, distributed systems, java","data structures, distributed systems, java",0.525,0.4408,12.0
networking,8,0.0,0.0,0,0,0,1.0,8,0.8,0.0,3.5777087639996643,0.5297,0.473,0.00431,1,False,True,False,False,False,False,False,False,Systems/Infra,False,False,False,False,False,False,True,False,2.16,1,0.3574171840659128,Transitional,networking,data / learning / feature / auto,2021,4,0,0.0,,0,1.6658,"distributed systems, deep learning, load balancing","linux, aws, vpc configuration",0.754,0.5097,12.0
next.js,10,0.5000000000000001,0.725,1,0,0,1.0,7,0.7,0.0,3.391164991562634,0.3512,0.7059,0.00746,4,False,False,False,False,True,False,False,False,Other,False,False,False,False,True,False,False,False,2.885,1,0.4105822087391647,Upcoming,next.js,javascript / next.js / node.js / react,2022,3,0,0.0,Transitional -> Upcoming,1,1.2485,"javascript, node.js, css","react, golang, typescript",0.6677,0.6266,9.0
node.js,12,0.0,0.25,0,0,2,0.6,10,1.0,0.0,5.366563145999495,0.442,0.5901,0.00746,4,False,False,False,False,True,False,False,False,Web/Mobile,False,False,False,False,False,False,False,True,3.25,1,0.3235164253756891,Transitional,node.js,javascript / next.js / node.js / react,2022,3,0,0.0,,0,1.4139,"javascript, next.js, typescript","sql, react, rest apis",0.6765,0.5812,7.2
oauth2,1,0.0,0.25,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3121,0.7091,0.00431,3,False,False,False,True,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.32,0,0.0,Traditional,oauth2,api / apis / gateway / rate,2022,3,0,0.0,,0,0.0,"jwt authentication, rest apis, api gateway","api gateway, grpc",0.45,0.4308,9.0
observability,1,0.0,1.0,1,0,0,1.0,1,0.1,0.0,0.447213595499958,0.2673,0.7625,0.00431,2,False,False,True,False,False,False,False,False,DevOps,False,False,False,True,False,False,False,False,0.47,0,0.0,Upcoming,observability,disaster / recovery / planning / event,2025,0,0,0.0,,0,0.0011,"security auditing, lighthouse audits, zero trust architecture","api rate limiting, background job processing, golang",0.225,0.3192,0.0
power bi,14,-2.0,0.3571428571428571,0,0,0,1.0,9,0.9,-2.0,3.898717737923585,0.3488,0.687,0.00747,7,False,False,False,False,False,False,False,True,Other,False,False,False,False,True,False,False,False,3.0514,1,0.7299003469294747,Transitional,"power, bi",ci / cd / pipelines / circuit,2022,3,0,0.0,,0,0.0,"tableau, shap, azure","python, sql, data visualization",0.7465,0.6658,8.25
prompt engineering,1,0.0,0.75,1,1,1,0.8,1,0.1,0.0,0.447213595499958,0.441,0.5626,0.00746,2,False,False,True,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.42,0,0.0,Upcoming,"prompt, engineering",disaster / recovery / planning / event,2024,0,0,0.0,,0,0.0,"feature engineering, vulnerability scanning, infrastructure as code","generative ai, llm, llm apis",0.205,0.2862,0.0
python,36,-2.5,0.3263888888888889,0,1,4,0.2,10,1.0,-2.25,4.54972526643093,0.4859,0.4821,0.00431,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,8.4278,0,0.4340733617416374,Traditional,python,data / learning / feature / auto,2021,0,0,0.0,,0,3.1824,"scikit-learn, java, tensorflow","power bi, data visualization, machine learning",0.399,0.3007,0.0
